
"A block identifier with the same properties already exists in the selected store.", "Bloks identifikators ar tādām pašām īpašībām jau pastāv izvēlētajā veikalā."
"A directory with the same name already exists. Please try another folder name.", "Ar tādu pašu nosaukumu katalogs jau eksistē. Lūdzu, mēģiniet citu mapes nosaukumu."
"A page URL key for specified store already exists.", "Lapas URL atslēga norādītajā veikalā jau eksistē."
"Action", "Darbība"
"Add New Block", "Pievienot jaunu bloku"
"Add New Page", "Pievienot jaunu lapu"
"All Countries", "Visas valstis"
"An error occurred while saving the page.", "Kļūda saglabājot lapu."
"Anchor Custom Text", "Enkurs Custom Teksts"
"Anchor Custom Title", "Enkurs Custom Nosaukums"
"Are you sure you want to delete current folder?", "Vai tiešām vēlaties dzēst pašreizējo mapi?"
"Are you sure you want to delete the selected file?", "Vai tiešām vēlaties dzēst izvēlēto failu?"
"Block", "Bloks"
"Block Information", "Block Information"
"Block Title", "Bloks Nosaukums"
"CMS", "CMS"
"CMS Content Wrapper", "CMS Satura apvalks"
"CMS Home Page", "CMS Mājas lapa"
"CMS No Cookies Page", "SVS Nr Cookies Lapa"
"CMS No Route Page", "SVS Nr Maršruta lapa"
"CMS No-Route Page", "CMS Nr Maršrutā Lapa"
"CMS Page", "CMS Lapa"
"CMS Page Link", "SVS lapas saiti"
"CMS Page Link Block Template", "SVS lapas saiti Bloks veidne"
"CMS Page Link Inline Template", "SVS lapas saiti Inline veidne"
"CMS Pages (All)", "CMS Lappuses (Viss)"
"CMS Static Block", "SVS Statiskā bloks"
"CMS Static Block Default Template", "SVS Statiskā bloks Noklusējuma veidne"
"Cannot create new directory.", "Nevar izveidot jaunu mapi."
"Cannot delete directory %s.", "Nevar izdzēst direktoriju% s."
"Cannot delete root directory %s.", "Nevar izdzēst saknes direktoriju% s."
"Cannot upload file.", "Nevar augšupielādēt failu."
"Collapse All", "Collapse All"
"Content", "Saturs"
"Content Heading", "Satura pozīcija"
"Content Management", "Satura vadība"
"Contents of a Static Block", "Saturs Statiskā Block"
"Create Folder...", "Izveidot mapi ..."
"Custom Design", "Custom Design"
"Custom Design From", "Custom Design No"
