
"Add", "Pievienot"
"Add gift message for shopping cart", "Pievienot dāvanu ziņu iepirkumu grozā"
"Add gift messages for quote item of shopping cart", "Pievienot dāvanu ziņas piedāvāt posteni grozā"
"Add gift messages to products of shopping cart", "Pievienot dāvanu ziņojumus produktiem grozā"
"Add gift options", "Pievienot dāvana iespējas"
"Add gift options for Individual Items", "Pievienot dāvana iespējas Atsevišķiem priekšmetiem"
"Add gift options for the Entire Order", "Pievienot dāvana iespējas par visu pasūtījumu"
"Add gift options.", "Pievienot dāvana iespējas."
"Allow Gift Messages for Order Items", "Atļaut Dāvanu vēstis pasūtīt preces"
"Allow Gift Messages on Order Level", "Atļaut Dāvanu Messages uz ordera līmeni"
"An error occurred while saving the gift message.", "Kļūda saglabājot dāvanu ziņu."
"Are you sure?", "Vai esat pārliecināts?"
"Cancel", "Atcelt"
"Do you have any gift items in your order?", "Vai jums ir kādi dāvanu vienumus kārtībā?"
"Edit", "Edit"
"From", "No"
"Gift Message", "Dāvanu Ziņu"
"Gift Message API", "Dāvanu Ziņu API"
"Gift Options", "Dāvanu Options"
"Gift Options for", "Dāvanu Iespējas"
"Gift Options for Individual Items", "Dāvanu opcijas Atsevišķiem priekšmetiem"
"Gift Options for the Entire Order.", "Dāvanu opcijas visu pasūtījumu."
"Gift Options for this address.", "Dāvanu Iespējas šajā adresē."
"Item %d of %d", "Vienība% d no% d"
"Message", "Ziņu"
"No", "Nē"
"OK", "OK"
"Save Gift Message", "Save Dāvanu ziņu"
"The gift message has been removed", "Dāvana ziņa ir izņemta"
"The gift message has been saved", "Dāvana ziņa ir saglabāta"
"The gift message has been saved.", "Dāvana ziņa ir saglabāta."
"To", "Lai"
"Unknown entity type", "Nezināma vienība tips"
"Use config", "Lietot config"
"Yes", "Jā"
"You can leave this box blank if you do not wish to add a gift message for the item.", "Jūs varat atstāt šo aili tukšu, ja jūs nevēlaties, lai pievienotu dāvanu ziņu par objektu."
"You can leave this box blank if you do not wish to add a gift message for this address.", "Jūs varat atstāt šo aili tukšu, ja jūs nevēlaties, lai pievienotu dāvanu ziņu par šo adresi."
"You can leave this box blank if you do not wish to add a gift message for whole order.", "Jūs varat atstāt šo aili tukšu, ja jūs nevēlaties, lai pievienotu dāvanu ziņu visai kārtībā."
