
"3D Secure CAVV", "3D Secure CAVV"
"3D Secure Card Validation", "3D Secure karte validācija"
"3D Secure Cardholder Validation", "3D Secure Kartes validācija"
"3D Secure Electronic Commerce Indicator", "3D Secure Elektroniskā komercija indikators"
"3D Secure Verification Result", "3D Secure pārbaudes rezultāts"
"3D Secure XID", "3D Secure XID"
"Card Issuer Liability", "Kartes Emitents Atbildība"
"Card Verification", "Kartes pārbaude"
"Enrolled", "Enrolled"
"Enrolled but Authentication Unavailable", "Uzņemti bet autentifikācija nav pieejams"
"Failed", "Neizdevās"
"MasterCard SecureCode", "MasterCard SecureCode"
"Merchant Liability", "Komersants Atbildība"
"Not Enrolled", "Neapmeklē"
"Order cannot be placed.", "Kārtība, nevar laist."
"Payment information error. Please start over.", "Maksājumu informācija kļūda Lūdzu sāktu no jauna.".
"Please continue with placing order.", "Lūdzu turpināt laist rīkojumu."
"Please verify the card with the issuer bank before placing the order.", "Lūdzu, pārbaudiet karti ar to izdevējbanka pirms pasūtījuma."
"Please verify the card with the issuer bank:", "Lūdzu, pārbaudiet karti ar emitenta banku:"
"Start/Reset Validation...", "Start / Reset validācija ..."
"Successful", "Veiksmīga"
"Successful attempt", "Veiksmīga mēģinājums"
"The card has failed verification with the issuer bank.", "Karte nav pārbaudi ar emitenta banku."
"There has been wrong payment information submitted or the time limit has expired. Please, "Tur ir nepareizs maksājumu informācija jāiesniedz vai termiņš ir beidzies. Lūdzu
"There has been wrong payment information submitted or time limit has expired. Please, "Tur ir nepareizs maksājumu informācija jāiesniedz vai termiņš ir beidzies. Lūdzu
"This card has failed validation and cannot be used.", "Šī karte nav validāciju un to nevar izmantot."
"To ensure the security of your transactions", "Lai nodrošinātu drošību jūsu darījumiem"
"Unable to complete", "Nevar pabeigt"
"Validation failed.", "Validācija neizdevās."
"Verification Failed", "Pārbaude neizdevās"
"Verification Successful", "Pārbaude Veiksmīga"
"Verification cannot be processed", "Pārbaude nevar apstrādāt"
"Verified by Visa", "Verified by Visa"
