
"""%s"" is not available in the requested quantity. %s of the items will be backordered.", "" "%s" "nav pieejama pieprasītā daudzuma% s preces tiks backordered.".
"%s is available for purchase in increments of %s only.", "%s ir pieejams iegādei ar soli% s tikai."
"%s is not a correct comparsion method.", "%s nav pareizs comparsion metode."
"<strong>Note</strong> that these settings are applicable to cart line items, "<strong> Piezīme </ strong>, ka šie uzstādījumi ir piemērojami grozam posteņus
"Add Minimum Qty", "Pievienot Minimālais Daudzums"
"Allow Qty Below 0", "Atļaut Daudz zem 0"
"Allow Qty Below 0 and Notify Customer", "Atļaut Daudz zem 0 un neziņošana klientu"
"Automatically Return Credit Memo Item to Stock", "Automātiski Atgriešanās Credit Memo punkts, lai noliktava"
"Backorders", "Backorders"
"By Fixed value", "Ar fiksētā vērtība"
"By Percentage", "Procentuāli"
"Cannot specify product identifier for the order item.", "Nevar norādīt produkta identifikatoru pasūtījuma posteņa."
"Catalog Inventory", "Katalogs inventarizācija"
"Decrease Stock When Order is Placed", "Samazināt krājuma pasūtījuma"
"Display Out of Stock Products", "Parādīt Izpārdots Products"
"Enable Qty Increments", "Aktivizēt QTY soļos"
"In Stock", "Noliktava"
"Index Product Stock Status", "Indekss produkcijas krājumu statuss"
"Inventory", "Inventarizācija"
"Inventory API", "Inventarizācija API"
"Inventory Section", "Inventarizācija sadaļa"
"Manage Stock", "Pārvaldīt Stock"
"Maximum Qty Allowed in Shopping Cart", "Maksimālais Daudz mājdzīvniekiem iepirkumu grozā"
"Minimum Qty", "Minimālā Daudz"
"Minimum Qty Allowed in Shopping Cart", "Minimālais Daudz mājdzīvniekiem iepirkumu grozā"
"No Backorders", "No backorders"
"Not all products are available in the requested quantity", "Ne visi produkti ir pieejami pieprasītā daudzuma"
"Notify for Quantity Below", "Paziņot par daudzumu, par"
"Only X left Threshold", "Tikai X kreisi slieksnis"
"Out of Stock", "Noliktava"
"Product Stock Options", "Produktu Stock Options"
"Qty Increments", "Daudzums soļos"
"Qty for Item's Status to Become Out of Stock", "Daudz par posteni statuss, lai kļūtu par pasūtījumu"
"Retrieve stock data", "Ielādēt datus par krājumiem"
"Retrieve stock data by product ids", "Retrieve krājumu dati pēc produkta ID"
"Rule price", "Noteikums cena"
"Set Items' Status to be In Stock When Order is Cancelled", "SET posteņi statusa būs noliktava Kad rīkojums ir atcelts"
"Some of the products are currently out of stock", "Daži no produktiem pašlaik no krājuma"
"Some of the products cannot be ordered in requested quantity.", "Daži no produktiem, nevar pasūtīt pieprasīto daudzumu."
"Some of the products cannot be ordered in the requested quantity.", "Daži no produktiem, nevar tikt piespriesta pieprasītā daudzuma."
"Stock Options", "Stock Options"
"Stock Status", "Krājumu stāvokli"
"The maximum quantity allowed for purchase is %s.", "Maksimālais daudzums ļāva iegādei ir% s."
"The minimum quantity allowed for purchase is %s.", "Minimālais daudzums ļāva iegādei ir% s."
"The requested quantity for ""%s"" is not available.", "Lūdza daudzums" "% s" "nav pieejams."
"The stock item for Product in option is not valid.", "Akciju postenis Prece opcija nav derīga."
"The stock item for Product is not valid.", "Akciju postenis Produkts nav derīgs."
"This product is available for purchase in increments of %s only.", "Šis produkts ir pieejams iegādei ar soli% s tikai."
"This product is currently out of stock.", "Šis produkts šobrīd nav pieejams."
"This product is not available in the requested quantity. %s of the items will be backordered.", "Šis produkts nav pieejams pieprasītā daudzuma% s preces tiks backordered.".
"To Fixed Value", "Lai Fixed Value"
"To Percentage", "Procentuāli"
"Undefined product type.", "Nav norādīts produkta veidu."
"Update", "Update"
"Update product stock data", "Update produkcijas krājumu dati"
"Update the Product", "Atjaunināt produktu"
