
"<strong>Attention</strong>: Captcha is case sensitive.", "<strong> Uzmanību </ strong>:. Captcha ir reģistrjutīga"
"After number of attempts to login", "Pēc vairākiem mēģinājumiem pieteiktos"
"Always", "Vienmēr"
"CAPTCHA", "CAPTCHA"
"CAPTCHA Timeout (minutes)", "CAPTCHA Timeout (minūtes)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen", "CAPTCHA ar" "Izveidot lietotāja" "un" "aizmirsu paroli" "formas vienmēr ir aktivizēta, ja izvēlēta"
"Case Sensitive", "Reģistrjutīgs"
"Displaying Mode", "Parādīšana Mode"
"Enable CAPTCHA in Admin", "Aktivizēt CAPTCHA admin"
"Enable CAPTCHA on Frontend", "Aktivizēt CAPTCHA par priekšpuseName"
"Font", "Burtu"
"Forms", "Veidlapas"
"If 0 is specified, "Ja 0 ir norādīts
"Incorrect CAPTCHA.", "Nepareiza CAPTCHA."
"Number of Symbols", "Simbolu skaits"
"Number of Unsuccessful Attempts to Login", "Skaits neveiksmīgiem mēģinājumiem, lai pieteiktos"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)", "Lūdzu, norādiet 8 simboli pie visvairāk. Sortiments atļauts (piemēram, 3- 5)"
"Please type the letters below", "Lūdzu rakstiet vēstules tālāk"
"Please type the letters from the image:", "Lūdzu rakstiet vēstules no attēla:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", "Lūdzu, tikai burtus (az un AZ) vai ciparus (0-9) šajā jomā. Nav telpas vai citas rakstzīmes ir atļauts. <br /> Līdzīga izskata rakstzīmes (piemēram," "i" "
"Reload captcha", "Pārlādēt captcha"
"Symbols Used in CAPTCHA", "Izmantotie simboli CAPTCHA"
