
"Add Recipient", "Pievienot adresātu"
"Allow for Guests", "Ļauj viesiem"
"An invalid email address for recipient was entered.", "Nederīgs e-pasta adrese saņēmējam tika ievadīta."
"At least one recipient must be specified.", "Vismaz viens datu saņēmējs jānorāda."
"Back", "Atpakaļ"
"Catalog Product Email to a Friend", "Katalogs Produkts Nosūtīt draugam"
"Email Address", "E-pasta adrese"
"Email Address:", "E-pasta adrese:"
"Email Templates", "E-pasta veidnes"
"Email to a Friend", "Nosūtīt draugam"
"Email:", "E-pasts:"
"Enabled", "Enabled"
"Invalid Sender Information", "Nepareiza Sūtītājs informācija"
"Invalid sender email.", "Nepareiza sūtītāja e-pastu."
"Limit Sending By", "Limit sūtīšana Pēc"
"Max Products Sent in 1 Hour", "Max produkti Sent 1 stunda"
"Max Recipients", "Max saņēmēji"
"Maximum %d email addresses allowed.", "Maksimāli% d-pasta adreses atļauts."
"Message:", "Ziņa:"
"Name", "Nosaukums"
"Name:", "Nosaukums:"
"No more than %d emails can be sent at a time.", "Ne vairāk kā% d vēstules var nosūtīt laikā."
"Please define a correct Cookie instance.", "Lūdzu noteikt pareizo Cookie instancē."
"Please define a correct Product instance.", "Lūdzu noteikt pareizo produkta instancē."
"Please define the correct Sender information.", "Lūdzu noteikt pareizo sūtītāja informāciju."
"Recipient:", "Saņēmējs:"
"Remove Email", "Noņemt Nosūtīt"
"Select Email Template", "Izvēlieties e-pasta veidnes"
"Send Email", "Send Nosūtīt"
"Send product to a friend", "Sūtīt produktu draugam"
"Sender:", "Sūtītājs:"
"Some emails were not sent.", "Dažas vēstules netika nosūtīta."
"The link to a friend was sent.", "Draugam saiti tika nosūtīts."
"The message cannot be empty.", "Ziņu nevar būt tukšs."
"The messages cannot be sent more than %d times in an hour", "The ziņas nevar nosūtīt vairāk nekā% d reizes stundā"
"The sender name cannot be empty.", "Sūtītāja vārds nevar būt tukšs."
"There were some problems with the data.", "Tur bija daži ar datiem problēmas."
"You have exceeded limit of %d sends in an hour", "Jūs esat pārsniedzis limitu% d sūta pēc stundas"
